tic,skor,ara60,ever,harga,likuid
MGNA,0.9938630490956073,3.0,5,216.0,598198300.0
SAFE,0.9886950904392764,3.0,12,1045.0,57376800.0
SEMA,0.9861111111111112,1.0,4,264.0,203426350.0
NASI,0.975452196382429,1.0,6,234.0,687992850.0
ASPI,0.963501291989664,4.0,16,690.0,791382300.0
UANG,0.9605943152454781,4.0,30,3950.0,1031217000.0
JARR,0.9602713178294574,2.0,19,3600.0,71613913500.0
TEBE,0.959625322997416,2.0,9,2080.0,20949031750.0
POLA,0.959625322997416,1.0,3,80.0,775320750.0
PTSN,0.9560723514211887,1.0,3,392.0,166488800.0
FPNI,0.9560723514211886,2.0,10,600.0,6024730250.0
DPUM,0.9551033591731266,1.0,7,146.0,2232371550.0
SAPX,0.9521963824289406,4.0,7,306.0,242047100.0
IDEA,0.9470284237726099,0.0,0,123.0,264539750.0
SQMI,0.9454134366925063,1.0,1,99.0,23326379550.0
MITI,0.9425064599483204,2.0,4,292.0,893350400.0
WAPO,0.9421834625322998,0.0,9,232.0,255072900.0
SMMT,0.9405684754521964,1.0,3,2910.0,641972250.0
AKSI,0.9386304909560724,1.0,11,388.0,413644800.0
CCSI,0.9357235142118863,1.0,5,422.0,356044700.0
AGAR,0.9324935400516796,8.0,19,1840.0,408942750.0
KICI,0.917312661498708,1.0,10,352.0,772415800.0
SRSN,0.914405684754522,0.0,0,129.0,11383949250.0
AYLS,0.9105297157622739,1.0,11,174.0,284260650.0
HBAT,0.9102067183462532,0.0,0,390.0,305112900.0
FOLK,0.9072997416020672,0.0,5,244.0,6783758900.0
BKDP,0.8950258397932817,1.0,4,168.0,673249650.0
ULTJ,0.893733850129199,0.0,0,2060.0,5358989000.0
CASH,0.8921188630490956,0.0,0,272.0,329535100.0
ASLI,0.8895348837209303,1.0,11,362.0,27654353300.0
ELIT,0.8875968992248062,1.0,6,272.0,6878870000.0
VISI,0.8830749354005168,1.0,10,1215.0,897245500.0
SINI,0.8830749354005167,0.0,18,16900.0,160274532500.0
ACST,0.881782945736434,0.0,3,114.0,74336900.0
VOKS,0.8811369509043927,2.0,9,284.0,113000200.0
PGUN,0.8791989664082688,1.0,28,9525.0,875690000.0
RONY,0.8762919896640826,3.0,10,1470.0,27210000.0
MSJA,0.875,0.0,0,815.0,7998691050.0
JECC,0.8720930232558138,1.0,7,840.0,39760500.0
PIPA,0.8695090439276486,0.0,9,178.0,33513987800.0
LAPD,0.8666020671834624,2.0,4,82.0,1964145550.0
TRIM,0.8640180878552972,0.0,1,840.0,392371250.0
MUTU,0.8640180878552972,0.0,0,136.0,2080028550.0
NATO,0.8636950904392764,2.0,11,1085.0,297753250.0
MOLI,0.8607881136950903,0.0,2,380.0,1335516500.0
BMSR,0.8546511627906976,0.0,3,358.0,10653100.0
FUJI,0.8514211886304909,2.0,9,286.0,939335100.0
AIMS,0.849483204134367,1.0,13,515.0,225878300.0
ICON,0.8472222222222223,0.0,3,155.0,3481421650.0
BIKE,0.8436692506459947,1.0,4,1130.0,356068250.0
VICI,0.8401162790697675,0.0,2,1140.0,5606150500.0
AREA,0.8401162790697675,0.0,1,328.0,618311900.0
GTRA,0.8372093023255814,1.0,5,250.0,122616700.0
BYAN,0.834625322997416,4.0,6,13825.0,20478500000.0
CSMI,0.8326873385012921,2.0,3,174.0,2253091350.0
CAMP,0.829780361757106,0.0,1,202.0,95077750.0
SSMS,0.8297803617571059,0.0,1,1180.0,11568881750.0
UVCR,0.8288113695090439,0.0,2,178.0,7316158450.0
LFLO,0.8233204134366925,0.0,0,625.0,3641650.0
KKES,0.8197674418604651,1.0,1,87.0,3658084450.0
POLU,0.8191214470284238,1.0,49,17000.0,263142500.0
SHID,0.8187984496124031,2.0,11,735.0,38555300.0
AGII,0.8058785529715763,0.0,4,3740.0,338601000.0
SCCO,0.8049095607235143,0.0,0,2620.0,111292500.0
AMMN,0.804263565891473,0.0,1,4680.0,320349908500.0
ERAA,0.8036175710594315,0.0,0,625.0,65448030550.0
TIFA,0.8020025839793281,3.0,4,310.0,33388700.0
NICE,0.7997416020671835,1.0,3,362.0,660779600.0
HOMI,0.7984496124031008,0.0,1,254.0,788268900.0
MBTO,0.7978036175710594,0.0,7,154.0,629473450.0
