tic,Skor,Harga,Vol20,vs_dasar60,Mom20,VolSurge,Likuid_jt,ARA_60h,r_Jumat,streak
MGNA,99.4,216,11.2,151,109,56.5,598,3,14.3,0
SAFE,98.9,1045,9.9,191,122,22.9,57,3,-9.9,0
SEMA,98.6,264,8.6,186,165,44.7,203,1,7.3,0
NASI,97.5,234,8.0,125,76,41.2,688,1,34.5,1
ASPI,96.4,690,8.5,126,73,7.3,791,4,8.7,0
UANG,96.1,3950,10.5,101,61,5.4,1031,4,-8.1,0
JARR,96.0,3600,9.0,108,83,5.3,71614,2,-14.1,0
TEBE,96.0,2080,8.6,124,54,6.7,20949,2,5.9,0
POLA,96.0,80,10.3,54,40,73.4,775,1,-5.9,0
PTSN,95.6,392,8.0,71,34,68.4,166,1,-8.4,0
FPNI,95.6,600,8.9,105,53,5.8,6025,2,16.5,0
DPUM,95.5,146,9.0,64,50,11.7,2232,1,-2.0,0
SAPX,95.2,306,12.5,55,44,12.1,242,4,-5.0,0
SQMI,94.5,99,10.4,152,55,2.8,23326,1,1.0,0
MITI,94.3,292,7.2,71,38,12.0,893,2,5.0,0
SMMT,94.1,2910,7.0,73,60,6.6,642,1,-2.0,0
AKSI,93.9,388,8.0,93,65,3.6,414,1,1.6,0
CCSI,93.6,422,6.9,67,53,7.5,356,1,-2.8,0
AGAR,93.2,1840,10.5,828,15,5.0,409,8,-14.8,0
KICI,91.7,352,6.9,46,33,12.7,772,1,24.8,1
AYLS,91.1,174,8.7,58,10,30.6,284,1,-12.1,0
BKDP,89.5,168,7.1,104,22,2.1,673,1,-4.5,0
ASLI,89.0,362,8.5,41,23,3.8,27654,1,-7.2,0
ELIT,88.8,272,9.6,39,34,2.3,6879,1,-4.2,0
VISI,88.3,1215,6.6,56,29,2.2,897,1,-1.2,0
VOKS,88.1,284,6.6,40,18,6.4,113,2,-9.6,0
PGUN,87.9,9525,6.4,40,27,4.4,876,1,-5.2,0
RONY,87.6,1470,6.6,52,25,2.2,27,3,-1.3,0
JECC,87.2,840,7.3,38,30,2.6,40,1,-0.6,0
LAPD,86.7,82,8.8,33,16,3.7,1964,2,-4.7,0
NATO,86.4,1085,8.7,66,40,1.2,298,2,2.8,0
FUJI,85.1,286,9.6,70,55,1.0,939,2,-2.7,0
AIMS,84.9,515,6.3,47,24,1.7,226,1,2.0,0
BIKE,84.4,1130,8.2,64,58,1.0,356,1,9.7,0
GTRA,83.7,250,5.9,43,12,2.7,123,1,2.5,0
BYAN,83.5,13825,8.2,36,5,7.7,20478,4,20.0,1
CSMI,83.3,174,9.8,155,18,0.9,2253,2,-9.8,0
KKES,82.0,87,9.0,118,23,0.8,3658,1,-5.4,0
POLU,81.9,17000,7.3,32,31,1.4,263,1,-1.4,0
SHID,81.9,735,8.5,36,35,1.1,39,2,-4.5,0
TIFA,80.2,310,6.4,38,1,20.0,33,3,2.6,0
NICE,80.0,362,6.6,45,34,0.9,661,1,1.1,0
FORU,79.7,3010,11.0,21,9,2.1,11842,2,-15.0,0
ECII,79.5,167,3.3,51,8,3.1,238,1,0.6,0
KIJA,79.3,180,10.5,38,24,0.9,78292,1,-0.6,0
BEEF,79.1,418,3.9,260,8,1.3,2517,1,-0.5,0
SOHO,78.9,1620,7.8,47,37,0.7,137,1,-0.6,0
NICK,76.2,2820,5.9,146,55,0.4,42,1,1.4,0
TRUK,76.1,1420,8.4,225,94,0.3,330,4,9.7,0
INET,75.8,332,6.9,54,24,0.6,220529,1,-1.8,0
MEDS,75.5,82,8.8,21,6,1.6,2750,1,-4.7,0
EKAD,73.7,398,7.8,153,30,0.3,4419,3,-1.0,0
PICO,73.4,177,8.3,69,46,0.3,413,1,-1.7,0
BAJA,72.4,350,8.0,81,-23,26.9,1459,3,25.0,1
PTSP,71.6,1245,9.5,46,35,0.3,75,2,1.6,0
DEFI,71.1,111,9.0,8,3,9.0,1265,1,-2.6,0
GSMF,71.1,101,9.0,17,3,1.5,597,1,-1.0,0
COCO,71.0,133,6.6,80,22,0.3,87470,3,-2.9,0
YPAS,70.6,1340,6.5,164,20,0.2,426,3,-0.7,0
KOKA,70.6,187,6.0,95,-6,1.8,2080,1,-1.1,0
VRNA,69.8,85,8.2,22,12,0.7,275,1,-5.6,0
TMPO,69.1,151,9.3,116,6,0.3,3525,2,-1.9,0
INAI,69.0,182,1.6,47,6,13.4,192,1,2.8,0
TRUS,68.7,442,5.2,61,10,0.4,46,2,-3.1,0
ESTI,68.4,160,6.4,41,-2,1.3,579,1,-4.2,0
CBPE,68.0,505,4.6,100,-8,1.9,67,1,1.8,0
MMIX,63.3,860,0.9,99,12,1.4,21984,2,1.2,0
PEGE,62.4,132,3.3,38,12,0.4,2639,1,-2.2,0
MDIA,61.4,191,7.1,195,-41,1.0,45025,1,-4.5,0
RMKO,61.1,322,3.2,21,7,0.8,2481,2,-1.2,0
DART,61.0,168,2.0,42,1,1.6,161,1,1.2,0
BSIM,59.6,1020,7.2,18,15,0.2,354,1,-1.9,0
COIN,57.4,755,6.9,18,7,0.3,34370,1,2.7,0
BELI,55.2,280,8.8,10,2,0.5,529,2,-2.1,0
ALDO,53.2,955,1.1,39,1,1.3,63,1,0.0,0
BABY,52.3,202,2.9,24,-17,1.9,452,1,0.0,0
SRAJ,52.0,12900,5.6,21,-18,1.0,25,1,-1.5,0
RBMS,51.8,61,2.8,27,-3,0.8,991,1,-3.2,0
SDMU,51.5,92,4.9,8,5,0.5,1478,1,-1.1,0
STAR,51.5,380,3.7,46,-16,0.8,44,2,0.5,0
BBRM,49.3,119,2.5,24,0,0.6,470,1,0.0,0
FUTR,48.9,254,5.2,48,-36,0.5,17481,2,-5.9,0
